# Time (s) Taverage [°C] Precipitation [mm/day]
 28425600 -2.4 0.1   
 28512000 -0.3 0.78   
 28598400 0.2 0   
 28684800 -1.8 0.1   
 28771200 -1.2 0   
 28857600 -5.1 0   
 28944000 -5.5 0   
 29030400 -2.8 0   
 29116800 -3.3 0.58   
 29203200 -1.7 0.58   
 29289600 -3.3 0.1   
 29376000 -5.1 0   
 29462400 -6.1 0   
 29548800 -7.6 0   
 29635200 -8.1 0   
 29721600 -9.6 0   
 29808000 -1.8 1.75   
 29894400 5.2 0   
 29980800 3.4 5.36   
 30067200 6.3 0.97   
 30153600 4.7 0   
 30240000 2.9 0   
 30326400 1.8 0.68   
 30412800 3.5 0   
 30499200 1.6 0   
 30585600 -2 0.2   
 30672000 -1.8 0.49   
 30758400 -2 0   
 30844800 -2.9 1.56   
 30931200 1.1 0   
 31017600 3.8 0   
 31104000 8.4 0   
 31190400 2.1 0   
 31276800 -1.4 0   
 31363200 0 0   
 31449600 -1.3 0   
