				
#				
#	OBS.	POINT	head	cm]
#				
#				
#				
#	Time	Obs		
1710	-11.8	-15.7	30.4527768	
1720	-12.6	-15.6	30.55889636	
1720	-12.5	-16	30.66501592	
1730	-12.7	-16.3	30.77113548	
1730	-12.3	-16.5	30.87725504	
1740	-14	-15.7	30.9833746	
1740	-14.8	-18.7	31.08949416	
1750	-14.8	-18.7	31.19561372	
1750	-14.8	-18.7	31.30173329	
1760	-14.7	-18.7	31.40785285	
1760	-14.6	-18.9	31.51397241	
1770	-14.6	-18.6	31.62009197	
1770	-14.6	-18.4	31.72621153	
1780	-14.5	-18.4	31.83233109	
1780	-14	-18.4	31.93845065	
1790	-14.5	-18.4	32.04457022	
1790	-14.7	-18.2	32.15068978	
1800	-14.7	-18.5	32.25680934	
1800	-14.8	-18.7	32.3629289	
1810	-14.7	-18.9	32.46904846	
1810	-14.7	-18.6	32.57516802	
1820	-14.6	-18.3	32.68128758	
1820	-14.7	-18.4	32.78740715	
1830	-14.7	-18.5	32.89352671	
1830	-14.6	-18.6	32.99964627	
1840	-14.6	-18.4	33.10576583	
1840	-14.5	-18.5	33.21188539	
1850	-14.5	-18.6	33.31800495	
1850	-14.5	-19.1	33.42412451	
1860	-14.5	-18.9	33.53024407	
1860	-14.5	-18.7	33.63636364	
1870	-14.6	-18.3	33.7424832	
1870	-14.5	-18.8	33.84860276	
1880	-14.5	-18.6	33.95472232	
1880	-14.4	-18.4	34.06084188	
1890	-14.4	-18.6	34.16696144	
1890	-14.3	-18.3	34.273081	
1900	-14.4	-18.9	34.37920057	
1900	-14.4	-18.9	34.48532013	
1910	-14.5	-18.7	34.59143969	
1910	-14.3	-18.7	34.69755925	
1920	-14.3	-18.3	34.80367881	
1920	-14.3	-18.5	34.90979837	
1930	-14.4	-18.6	35.01591793	
1930	-14.4	-18.7	35.1220375	
1940	-14.4	-18.7	35.22815706	
1940	-14.4	-19.1	35.33427662	
1950	-14.3	-18.5	35.44039618	
1950	-14.2	-18.2	35.54651574	
1960	-14.4	-18.6	35.6526353	
1960	-14.5	-18.5	35.75875486	
1970	-14.4	-18.8	35.86487443	
1970	-14.4	-18.8	35.97099399	
1980	-14.3	-18.8	36.07711355	
1980	-14.3	-18.8	36.18323311	
1990	-14.3	-19.2	36.28935267	
1990	-14.3	-18.8	36.39547223	
2000	-14.4	-18.8	36.50159179	
2000	-14.4	-18.8	36.60771135	
2010	-14.3	-18.9	36.71383092	
2010	-14.4	-18.6	36.81995048	
2020	-14.4	-18.8	36.92607004	
2020	-14.3	-18.8	37.0321896	
2030	-14.3	-18.9	37.13830916	
2030	-14.2	-19.1	37.24442872	
2040	-14.3	-18.9	37.35054828	
2040	-14.3	-18.7	37.45666785	
2050	-14.3	-18.8	37.56278741	
2050	-14.3	-18.6	37.66890697	
2060	-14.3	-18.7	37.77502653	
2060	-14.5	-18.7	37.88114609	
2070	-14.6	-19.1	37.98726565	
2070	-14.6	-19.2	38.09338521	
2080	-14.6	-19.4	38.19950478	
2080	-14.6	-19.2	38.30562434	
2090	-14.6	-19	38.4117439	
2090	-14.7	-18.8	38.51786346	
2100	-14.6	-18.6	38.62398302	
2100	-14.5	-18.8	38.73010258	
2110	-14.5	-18.9	38.83622214	
2110	-14.3	-18.9	38.9423417	
2120	-14.1	-19	39.04846127	
2120	-14.6	-19.3	39.15458083	
2130	-14.5	-19	39.26070039	
2130	-14.4	-18.6	39.36681995	
2140	-14.3	-18.3	39.47293951	
2140	-14.1	-18.8	39.57905907	
2150	-14.2	-18.4	39.68517863	
2150	-14.1	-18.3	39.7912982	
2160	-14	-18.3	39.89741776	
2160	-14.1	-18.3	40.00353732	
2170	-14	-19	40.10965688	
2170	-14	-18.7	40.21577644	
2180	-14	-18.4	40.321896	
2180	-13.9	-18.5	40.42801556	
2190	-13.6	-18.5	40.53413513	
2190	-13.8	-18.2	40.64025469	
2200	-13.9	-18	40.74637425	
2200	-13.9	-18.5	40.85249381	
2210	-13.8	-18.6	40.95861337	
2210	-13.8	-18.7	41.06473293	
2220	-13.7	-18.4	41.17085249	
2220	-13.6	-18.4	41.27697206	
2230	-13.6	-18.3	41.38309162	
2230	-13.6	-18.1	41.48921118	
2240	-13.6	-17.8	41.59533074	
2240	-13.6	-18.4	41.7014503	
2250	-13.5	-18.3	41.80756986	
2250	-13.5	-18.2	41.91368942	
2260	-13.6	-18.3	42.01980898	
2260	-13.5	-18.4	42.12592855	
2270	-13.5	-18.2	42.23204811	
2270	-13.4	-18.2	42.33816767	
2280	-11.6	-18.2	42.44428723	
2280	-13.1	-17.6	42.55040679	
2290	-13.4	-18.1	42.65652635	
2290	-13.5	-18.2	42.76264591	
2300	-13.5	-18.4	42.86876548	
2300	-13.5	-18.6	42.97488504	
2310	-13.4	-18.3	43.0810046	
2310	-13.2	-18.2	43.18712416	
2320	-13.1	-18.1	43.29324372	
2320	-13.1	-18	43.39936328	
2330	-13.1	-18	43.50548284	
2330	-13.2	-18.1	43.61160241	
2340	-13.2	-18.1	43.71772197	
2340	-13	-18.2	43.82384153	
2350	-13.1	-18.3	43.92996109	
2350	-13.1	-18.2	44.03608065	
2360	-13	-18.2	44.14220021	
2360	-13	-17.6	44.24831977	
2370	-13.1	-18	44.35443933	
2370	-13	-18.1	44.4605589	
2380	-13	-17.9	44.56667846	
2380	-13	-18	44.67279802	
2390	-13	-18	44.77891758	
2390	-12.9	-17.9	44.88503714	
2400	-12.9	-18.2	44.9911567	
2400	-12.7	-18.2	45.09727626	
2410	-12.8	-17.8	45.20339583	
2410	-13	-17.7	45.30951539	
2420	-12.8	-18	45.41563495	
2420	-12.8	-17.8	45.52175451	
2430	-12.8	-17.9	45.62787407	
2430	-12.7	-18	45.73399363	
2440	-12.7	-18.1	45.84011319	
2440	-12.6	-17.9	45.94623276	
2450	-11.6	-17.5	46.05235232	
2450	-12.4	-17.7	46.15847188	
2460	-12.6	-17.8	46.26459144	
2460	-12.6	-17.8	46.370711	
2470	-12.6	-17.7	46.47683056	
2470	-12.7	-17.7	46.58295012	
2480	-12.6	-17.9	46.68906969	
2480	-12.5	-18.1	46.79518925	
2490	-12.7	-17.9	46.90130881	
2490	-12.5	-17.2	47.00742837	
2500	-12.6	-17.7	47.11354793	
2500	-12.3	-17.6	47.21966749	
2510	-12.6	-17.7	47.32578705	
2510	-12.5	-17.7	47.43190661	
2520	-12.4	-17.6	47.53802618	
2520	-12.3	-17.8	47.64414574	
2530	-12.3	-18	47.7502653	
2530	-12.4	-18	47.85638486	
2540	-12.4	-17.8	47.96250442	
2540	-12.4	-17.7	48.06862398	
2550	-12.7	-18.1	48.17474354	
2550	-12.9	-18.3	48.28086311	
2560	-12.7	-18.1	48.38698267	
2560	-12.8	-18.2	48.49310223	
2570	-12.7	-18.1	48.59922179	
2570	-12.7	-18	48.70534135	
2580	-12.8	-18.6	48.81146091	
2580	-12.7	-18.5	48.91758047	
2590	-12.6	-18.1	49.02370004	
2590	-12.6	-18	49.1298196	
2600	-12.5	-17.9	49.23593916	
2600	-12.5	-17.9	49.34205872	
2610	-12.4	-17.9	49.44817828	
2610	-12.3	-17.8	49.55429784	
2620	-12.4	-17.8	49.6604174	
2620	-12.3	-17.9	49.76653696	
2630	-12.3	-18.2	49.87265653	
2630	-12.3	-18.4	49.97877609	
2640	-12.3	-17.6	50.08489565	
2640	-12.2	-17.7	50.19101521	
2650	-12.2	-17.6	50.29713477	
2650	-12.2	-17.6	50.40325433	
2660	-12.1	-17.7	50.50937389	
2660	-12.1	-17.8	50.61549346	
2670	-12.1	-17.8	50.72161302	
2670	-12	-17.8	50.82773258	
2680	-12	-17.9	50.93385214	
2680	-12	-18	51.0399717	
2690	-11.9	-17.8	51.14609126	
2690	-11.9	-17.7	51.25221082	
2700	-11.8	-17.6	51.35833039	
2700	-11.9	-17.5	51.46444995	
2710	-11.9	-17.5	51.57056951	
2710	-11.8	-17.6	51.67668907	
2720	-11.8	-17.6	51.78280863	
2720	-11.7	-17.3	51.88892819	
2730	-11.6	-17.3	51.99504775	
2730	-11.6	-17.5	52.10116732	
2740	-11.5	-17.5	52.20728688	
2740	-11.7	-17.4	52.31340644	
2750	-11.4	-17.1	52.419526	
2750	-11.6	-17.3	52.52564556	
2760	-11.5	-17.3	52.63176512	
2760	-11.4	-16.9	52.73788468	
2770	-11.5	-17.2	52.84400424	
2770	-11.4	-17.2	52.95012381	
2780	-11.3	-17.2	53.05624337	
2780	-11.3	-17.1	53.16236293	
2790	-11.4	-17.5	53.26848249	
2790	-11.3	-17.2	53.37460205	
2800	-11.2	-17	53.48072161	
2800	-11.1	-16.8	53.58684117	
2810	-11.1	-16.6	53.69296074	
2810	-11	-16.5	53.7990803	
2820	-11.1	-17.1	53.90519986	
2820	-11.1	-17	54.01131942	
2830	-9.95	-16.7	54.11743898	
2830	-11	-17.1	54.22355854	
2840	-11.2	-17.2	54.3296781	
2840	-11.3	-17	54.43579767	
2850	-11.2	-16.9	54.54191723	
2850	-11	-16.7	54.64803679	
2860	-11.1	-16.8	54.75415635	
2860	-10.9	-16.8	54.86027591	
2870	-10.9	-16.3	54.96639547	
2870	-11	-16.8	55.07251503	
2880	-10.9	-16.9	55.17863459	
2880	-10.9	-17	55.28475416	
2890	-10.9	-17.2	55.39087372	
2890	-10.9	-16.9	55.49699328	
2900	-10.7	-16.3	55.60311284	
2900	-10.7	-16.4	55.7092324	
2910	-10.7	-16.6	55.81535196	
2910	-10.8	-16.7	55.92147152	
